Product,Name,Rating,CommentHead,Comment
iphone 17,Neha  Kothari,5,Mind-blowing purchase,Upgraded from iphone11 to iphone17🤍
iphone 17,Shikha Chaubey,5,Just wow!,It is very good and the battery charging is also good and the look is also cool
iphone 17,Manas Nayak,5,Excellent,Feel the blue 🩵
iphone 17,ashok V S,5,Brilliant,Is good phone
iphone 17,Shivansh Kataria,5,Great product,Best base iphone till date
iphone 17,vaddadi sai vigyan ram prakash,5,Super!,Some heating issue.fast performance good design good price for 256 GB mobile in base mobile
iphone 17,utkarsh sharma,4,Delightful,"Pros:-120Hz display , super bright, amazing colour contrast-Good battery-Excellent cameras-Blazing fast processor-Solid build qualityCons:-Display restraint to 80HZ mostly-Even though it has good battery, iOS26 drains a lot.-Could have given 120 fps in 4k and 240 fps in   1080P, processor is capable for those tasks.-Heats during heavy load , also if you are using in direct sunlight."
iphone 17,Radhika  Soni,5,Best in the market!,1lak percent original I am check to iPhone image Apple store Jodhpur 100% original and perfect thank you Flipkart
iphone 17,Abhishek Konepak,5,Fabulous!,"Amazing upgrade from 12 to 17 with 120hz display, 256 gb storage and new 18mp camera , better deal than iphone 16 pro"
iphone 17,Vishal Chauhan,5,Excellent,Great camera touch and feel is good but design could be changed little bit to resemble 17 series it looks very similar to 16 cameras are great i can say
iphone 17,No Name,No Rating,No Heading,No Comment
